,R
0,0.5568987916919764
1,0.6100856048787896
2,0.5730160078091925
3,0.5722101470033317
4,0.6076680224612071
5,0.5802687550619398
6,0.5504519052450899
7,0.6141149089080936
8,0.5963859711791558
9,0.5585105133036979
10,0.5996094144025991
11,0.5665691213623062
12,0.5577046524978372
13,0.6157266305198154
14,0.5415874363806211
15,0.5802687550619398
16,0.6149207697139544
17,0.5423932971864819
18,0.6020269968201816
19,0.6173383521315369
20,0.5464226012157859
21,0.5802687550619398
22,0.5988035535967383
23,0.5335288283220131
24,0.5971918319850168
25,0.587521502314687
26,0.5907449455381303
27,0.5979976927908776
28,0.5705984253916102
29,0.5480343228275076
30,0.6084738832670681
31,0.5601222349154197
32,0.5552870700802549
33,0.6189500737432584
34,0.587521502314687
35,0.5609280957212804
36,0.6125031872963721
37,0.5383639931571779
38,0.5609280957212804
39,0.6189500737432584
40,0.5891332239264088
41,0.5649573997505845
42,0.6125031872963721
43,0.5464226012157859
44,0.5867156415088263
45,0.6100856048787896
46,0.5448108796040644
47,0.5963859711791558
48,0.6028328576260423
49,0.5456167404099251
50,0.5947742495674343
51,0.6100856048787896
52,0.5512577660509509
53,0.5722101470033317
54,0.6149207697139544
55,0.5738218686150535
56,0.5818804766736615
57,0.6197559345491194
58,0.5971918319850168
59,0.5907449455381303
60,0.6165324913256761
61,0.5762394510326357
62,0.5786570334502182
63,0.6116973264905113
64,0.5778511726443575
65,0.567374982168167
66,0.5625398173330022
67,0.5770453118384965
68,0.5738218686150535
69,0.5746277294209142
70,0.5657632605564452
71,0.575433590226775
72,0.5746277294209142
73,0.5681808429740277
74,0.5722101470033317
75,0.579462894256079
76,0.5770453118384965
77,0.5738218686150535
78,0.5738218686150535
79,0.5705984253916102
80,0.5697925645857492
81,0.5697925645857492
82,0.5730160078091925
83,0.571404286197471
84,0.5762394510326357
85,0.575433590226775
86,0.5705984253916102
87,0.5738218686150535
88,0.5722101470033317
89,0.5722101470033317
90,0.5746277294209142
91,0.5705984253916102
92,0.5762394510326357
93,0.5746277294209142
94,0.5746277294209142
95,0.5722101470033317
96,0.5730160078091925
97,0.5786570334502182
98,0.5778511726443575
99,0.5722101470033317
100,0.5762394510326357
101,0.5722101470033317
102,0.5738218686150535
103,0.5746277294209142
104,0.5738218686150535
105,0.5730160078091925
106,0.5730160078091925
107,0.5730160078091925
108,0.5681808429740277
109,0.5730160078091925
110,0.571404286197471
111,0.5705984253916102
112,0.5722101470033317
113,0.5705984253916102
114,0.5738218686150535
115,0.571404286197471
116,0.5681808429740277
117,0.575433590226775
118,0.5705984253916102
119,0.5730160078091925
120,0.575433590226775
121,0.5738218686150535
122,0.571404286197471
123,0.5786570334502182
124,0.5746277294209142
125,0.6898658246590094
126,0.6987302935234784
127,0.6108914656846504
128,0.5931625279557128
129,0.6213676561608409
130,0.579462894256079
131,0.5971918319850168
132,0.6399024546956394
133,0.5480343228275076
134,0.5810746158678005
135,0.6197559345491194
136,0.5851039198971045
137,0.5907449455381303
138,0.6108914656846504
139,0.5480343228275076
140,0.571404286197471
141,0.6165324913256761
142,0.5456167404099251
143,0.5722101470033317
144,0.6229793777725626
145,0.5851039198971045
146,0.5738218686150535
147,0.6044445792377641
148,0.5585105133036979
149,0.5617339565271412
150,0.6116973264905113
151,0.5899390847322695
152,0.5730160078091925
153,0.5996094144025991
154,0.5480343228275076
155,0.5818804766736615
156,0.645543480336665
157,0.5528694876626724
158,0.5665691213623062
159,0.6133090481022329
160,0.5810746158678005
161,0.5746277294209142
162,0.6189500737432584
163,0.5810746158678005
164,0.587521502314687
165,0.6479610627542475
166,0.5528694876626724
167,0.5689867037798885
168,0.6165324913256761
169,0.5512577660509509
170,0.5657632605564452
171,0.6173383521315369
172,0.5851039198971045
173,0.5689867037798885
174,0.6165324913256761
175,0.5407815755747604
176,0.5851039198971045
