,L
0,0.6149890362987097
1,0.6544762157858893
2,0.6198242011338745
3,0.5892014905111639
4,0.6230476443573177
5,0.6238535051631787
6,0.5174798787895522
7,0.7116923330020065
8,0.4836337249433983
9,0.5988718201814937
10,0.5344029557126292
11,0.6238535051631787
12,0.44092310223277564
13,0.6335238348335083
14,0.464293065602739
15,0.5634139447236183
16,0.6496410509507243
17,0.4941099154195888
18,0.6947692560789295
19,0.48766302897270253
20,0.5851721864818599
21,0.468322369632043
22,0.6230476443573177
23,0.4086886699983435
24,0.5956483769580504
25,0.6899340912437647
26,0.6069304282401017
27,0.5150622963719699
28,0.6117655930752665
29,0.4240000253096988
30,0.630300391610065
31,0.5166740179836914
32,0.4973333586430321
33,0.7076630289727025
34,0.5787253000349736
35,0.4505934319031054
36,0.6407765820862555
37,0.4546227359324094
38,0.5134505747602481
39,0.7124981938078673
40,0.5892014905111639
41,0.44092310223277564
42,0.639164860474534
43,0.5489084502181237
44,0.639164860474534
45,0.6351355564452298
46,0.5287619300716034
47,0.6633406846503581
48,0.49088647219614556
49,0.5755018568115303
50,0.630300391610065
51,0.55535533666501
52,0.622241783551457
53,0.49572163703131056
54,0.6762344575441309
55,0.46026376157343496
56,0.5988718201814937
57,0.6738168751265486
58,0.5464908678005412
59,0.7068571681668415
60,0.6085421498518232
61,0.5263443476540212
62,0.6689817102913836
63,0.6157948971045705
64,0.6004835417932152
65,0.5674432487529223
66,0.5215091828188562
67,0.6069304282401017
68,0.614183175492849
69,0.568249109558783
70,0.5198974612071346
71,0.6407765820862555
72,0.5883956297053031
73,0.556161197470871
74,0.5932307945404679
75,0.6617289630386366
76,0.626271087580761
77,0.6012894025990762
78,0.5714725527822263
79,0.5408498421595157
80,0.5376263989360724
81,0.5674432487529223
82,0.5746959960056696
83,0.5706666919763653
84,0.5803370216466951
85,0.5883956297053031
86,0.5658315271412006
87,0.5698608311705046
88,0.5892014905111639
89,0.5650256663353398
90,0.5698608311705046
91,0.560190501500175
92,0.5787253000349736
93,0.5835604648701384
94,0.5674432487529223
95,0.5835604648701384
96,0.5585787798884533
97,0.5972600985697719
98,0.6037069850166584
99,0.5698608311705046
100,0.5674432487529223
101,0.5658315271412006
102,0.5489084502181237
103,0.5746959960056696
104,0.5706666919763653
105,0.5819487432584166
106,0.5416557029653765
107,0.559384640694314
108,0.552131893441567
109,0.5722784135880871
110,0.5787253000349736
111,0.5650256663353398
112,0.5730842743939478
113,0.5883956297053031
114,0.5867839080935816
115,0.5811428824525559
116,0.5650256663353398
117,0.5908132121228856
118,0.5827546040642776
119,0.5803370216466951
120,0.5964542377639112
121,0.6004835417932152
122,0.5771135784232518
123,0.5892014905111639
124,0.5883956297053031
125,0.7503736516833251
126,0.7205568018664753
127,0.5932307945404679
128,0.5811428824525559
129,0.7205568018664753
130,0.5118388531485266
131,0.6939633952730687
132,0.5102271315368049
133,0.5916190729287464
134,0.5134505747602481
135,0.6883223696320432
136,0.5779194392291126
137,0.6625348238444974
138,0.5231209044305779
139,0.5883956297053031
140,0.45865203996171344
141,0.643194164503838
142,0.5086154099250834
143,0.5505201718298453
144,0.7326447139543873
145,0.5271502084598819
146,0.6149890362987097
147,0.5626080839177573
148,0.6456117469214203
149,0.5174798787895522
150,0.6955751168847902
151,0.5086154099250834
152,0.6407765820862555
153,0.47154581285548625
154,0.5690549703646438
155,0.6762344575441309
156,0.5787253000349736
157,0.6456117469214203
158,0.49169233300200654
159,0.6802637615734349
160,0.5110329923426659
161,0.5940366553463289
162,0.6770403183499919
163,0.5287619300716034
164,0.6867106480203214
165,0.552131893441567
166,0.6230476443573177
167,0.4796044209140943
168,0.6593113806210541
169,0.5859780472877206
170,0.48443958574925927
171,0.6681758494855229
172,0.5771135784232518
173,0.4465641278738014
174,0.6319121132217868
175,0.46026376157343496
176,0.5746959960056696
177,0.5972600985697719
178,0.5190916004012739
179,0.5174798787895522
180,0.6633406846503581
181,0.5231209044305779
182,0.568249109558783
183,0.6496410509507243
184,0.5408498421595157
185,0.5722784135880871
186,0.6335238348335083
187,0.5070036883133618
188,0.7495677908774644
189,0.5384322597419332
190,0.7116923330020065
191,0.5311795124891859
192,0.6520586333683068
193,0.4989450802547538
194,0.5827546040642776
195,0.630300391610065
196,0.6085421498518232
197,0.6053187066283802
198,0.5045861058957793
199,0.5867839080935816
200,0.4070769483866218
201,0.5900073513170249
202,0.6528644941741676
203,0.5537436150532885
204,0.693157534467208
205,0.48766302897270253
206,0.6915458128554862
207,0.5247326260422994
208,0.6133773146869882
209,0.5360146773243507
210,0.622241783551457
211,0.45220515351482693
212,0.6351355564452298
213,0.45865203996171344
214,0.5843663256759991
215,0.6415824428921163
216,0.5118388531485266
217,0.7189450802547538
218,0.4941099154195888
219,0.6246593659690395
220,0.6020952634049369
221,0.5198974612071346
222,0.5634139447236183
223,0.7270036883133618
224,0.5215091828188562
225,0.7237802450899186
226,0.4634872047968782
227,0.5851721864818599
228,0.7149157762254498
229,0.5408498421595157
230,0.618212479522153
231,0.5481025894122628
232,0.6174066187162922
233,0.5037802450899186
234,0.6198242011338745
235,0.42561174692142034
236,0.614183175492849
237,0.6351355564452298
238,0.5988718201814937
239,0.6230476443573177
240,0.5569670582767318
241,0.6375531388628123
242,0.5102271315368049
243,0.6230476443573177
244,0.5021685234781968
245,0.5763077176173911
246,0.47154581285548625
247,0.6351355564452298
248,0.40788280919248254
249,0.5940366553463289
250,0.6633406846503581
251,0.5134505747602481
252,0.7213626626723361
253,0.5464908678005412
254,0.6149890362987097
255,0.5746959960056696
256,0.4941099154195888
257,0.6617289630386366
258,0.6012894025990762
259,0.4667106480203215
260,0.6190183403280137
261,0.5287619300716034
262,0.6673699886796621
263,0.6020952634049369
264,0.5537436150532885
265,0.5650256663353398
266,0.6770403183499919
267,0.626271087580761
268,0.6214359227455962
269,0.6125714538811274
270,0.6053187066283802
271,0.6085421498518232
272,0.6037069850166584
273,0.5892014905111639
274,0.5964542377639112
275,0.6101538714635449
276,0.6109597322694057
277,0.6109597322694057
278,0.6061245674342409
279,0.5940366553463289
280,0.6190183403280137
281,0.6157948971045705
282,0.6149890362987097
283,0.630300391610065
284,0.6117655930752665
285,0.5859780472877206
286,0.5940366553463289
287,0.5924249337346071
288,0.5940366553463289
289,0.5835604648701384
290,0.5634139447236183
291,0.5722784135880871
292,0.5771135784232518
293,0.5569670582767318
294,0.5658315271412006
295,0.5916190729287464
296,0.5787253000349736
297,0.5859780472877206
298,0.5730842743939478
299,0.5811428824525559
300,0.5537436150532885
301,0.5730842743939478
302,0.5940366553463289
303,0.5932307945404679
304,0.5996776809873544
305,0.6037069850166584
306,0.6012894025990762
307,0.6117655930752665
308,0.6037069850166584
309,0.6085421498518232
310,0.5714725527822263
311,0.5730842743939478
312,0.5859780472877206
313,0.5883956297053031
314,0.5763077176173911
315,0.5545494758591493
316,0.560190501500175
317,0.5867839080935816
318,0.5875897688994424
319,0.5666373879470613
320,0.5263443476540212
321,0.5223150436247171
322,0.5948425161521896
323,0.5529377542474277
324,0.481216142525816
325,0.6190183403280137
326,0.5746959960056696
327,0.6166007579104315
328,0.6480293293390028
329,0.5585787798884533
330,0.6053187066283802
331,0.6689817102913836
332,0.46912823043790397
333,0.6319121132217868
334,0.5803370216466951
335,0.4264176077272811
336,0.6117655930752665
337,0.42561174692142034
338,0.5972600985697719
339,0.6504469117565853
340,0.6101538714635449
341,0.5070036883133618
342,0.5698608311705046
343,0.7004102817199552
344,0.5440732853829587
345,0.7084688897785633
346,0.5118388531485266
347,0.7270036883133618
348,0.552131893441567
349,0.6754285967382702
350,0.547296728606402
351,0.6883223696320432
352,0.53520881651849
353,0.6311062524159258
354,0.5360146773243507
355,0.647223468533142
356,0.5198974612071346
357,0.6069304282401017
358,0.6149890362987097
359,0.5295677908774644
360,0.6593113806210541
361,0.46993409124376473
362,0.6278828091924827
363,0.5166740179836914
364,0.5706666919763653
365,0.6560879373976108
366,0.556161197470871
367,0.6375531388628123
368,0.5174798787895522
369,0.6681758494855229
370,0.5400439813536547
371,0.7108864721961455
372,0.4820220033316768
373,0.6818754831851567
374,0.49088647219614556
375,0.6585055198151933
376,0.5142564355661091
377,0.6101538714635449
378,0.5207033220129954
379,0.5271502084598819
380,0.6069304282401017
381,0.5134505747602481
382,0.6045128458225192
383,0.46912823043790397
384,0.5674432487529223
385,0.5634139447236183
386,0.5972600985697719
387,0.5892014905111639
388,0.5867839080935816
389,0.5650256663353398
390,0.6818754831851567
391,0.6109597322694057
392,0.6214359227455962
393,0.5763077176173911
394,0.6117655930752665
395,0.5335970949067684
396,0.6834872047968782
397,0.5932307945404679
398,0.5255384868481604
399,0.5908132121228856
400,0.5021685234781968
401,0.6037069850166584
402,0.45623445754413094
403,0.568249109558783
404,0.5940366553463289
405,0.4949157762254496
406,0.6512527725624461
407,0.4787985601082335
408,0.6585055198151933
409,0.5489084502181237
410,0.6246593659690395
411,0.5634139447236183
