V_SWEEP ,(i("/FWR/iout" ?result "dc") * -1) (A)
181.6E-3,33.73E-9
182.0E-3,33.74E-9
182.4E-3,33.75E-9
182.8E-3,33.76E-9
183.2E-3,33.77E-9
183.6E-3,33.78E-9
184.0E-3,33.79E-9
184.4E-3,33.80E-9
184.8E-3,33.81E-9
185.2E-3,33.82E-9
185.6E-3,33.83E-9
186.0E-3,33.84E-9
186.4E-3,33.85E-9
186.8E-3,33.86E-9
187.2E-3,33.87E-9
187.6E-3,33.88E-9
188.0E-3,33.89E-9
188.4E-3,33.90E-9
188.8E-3,33.91E-9
189.2E-3,33.92E-9
189.6E-3,33.92E-9
190.0E-3,33.93E-9
190.4E-3,33.94E-9
190.8E-3,33.95E-9
191.2E-3,33.96E-9
191.6E-3,33.97E-9
192.0E-3,33.98E-9
192.4E-3,33.99E-9
192.8E-3,33.99E-9
193.2E-3,34.00E-9
193.6E-3,34.01E-9
194.0E-3,34.02E-9
194.4E-3,34.03E-9
194.8E-3,34.04E-9
195.2E-3,34.04E-9
195.6E-3,34.05E-9
196.0E-3,34.06E-9
196.4E-3,34.07E-9
196.8E-3,34.08E-9
197.2E-3,34.08E-9
197.6E-3,34.09E-9
198.0E-3,34.10E-9
198.4E-3,34.11E-9
198.8E-3,34.11E-9
199.2E-3,34.12E-9
199.6E-3,34.13E-9
200.0E-3,34.13E-9
