V_SWEEP ,i("/GM/iout" ?result "dc") (A)
-120.8E-3,-26.08E-9
-120.4E-3,-26.04E-9
-120.0E-3,-26.00E-9
-119.6E-3,-25.97E-9
-119.2E-3,-25.93E-9
-118.8E-3,-25.90E-9
-118.4E-3,-25.86E-9
-118.0E-3,-25.82E-9
-117.6E-3,-25.78E-9
-117.2E-3,-25.75E-9
-116.8E-3,-25.71E-9
-116.4E-3,-25.67E-9
-116.0E-3,-25.63E-9
-115.6E-3,-25.59E-9
-115.2E-3,-25.55E-9
-114.8E-3,-25.51E-9
-114.4E-3,-25.47E-9
-114.0E-3,-25.43E-9
-113.6E-3,-25.39E-9
-113.2E-3,-25.35E-9
-112.8E-3,-25.31E-9
-112.4E-3,-25.27E-9
-112.0E-3,-25.23E-9
-111.6E-3,-25.19E-9
-111.2E-3,-25.14E-9
-110.8E-3,-25.10E-9
-110.4E-3,-25.06E-9
-110.0E-3,-25.02E-9
-109.6E-3,-24.97E-9
-109.2E-3,-24.93E-9
-108.8E-3,-24.88E-9
-108.4E-3,-24.84E-9
-108.0E-3,-24.80E-9
-107.6E-3,-24.75E-9
-107.2E-3,-24.71E-9
-106.8E-3,-24.66E-9
-106.4E-3,-24.61E-9
-106.0E-3,-24.57E-9
-105.6E-3,-24.52E-9
-105.2E-3,-24.47E-9
-104.8E-3,-24.43E-9
-104.4E-3,-24.38E-9
-104.0E-3,-24.33E-9
-103.6E-3,-24.28E-9
-103.2E-3,-24.23E-9
-102.8E-3,-24.18E-9
-102.4E-3,-24.13E-9
-102.0E-3,-24.09E-9
-101.6E-3,-24.04E-9
-101.2E-3,-23.98E-9
-100.8E-3,-23.93E-9
-100.4E-3,-23.88E-9
-100.0E-3,-23.83E-9
-99.60E-3,-23.78E-9
-99.20E-3,-23.73E-9
-98.80E-3,-23.67E-9
-98.40E-3,-23.62E-9
-98.00E-3,-23.57E-9
-97.60E-3,-23.52E-9
-97.20E-3,-23.46E-9
-96.80E-3,-23.41E-9
-96.40E-3,-23.35E-9
-96.00E-3,-23.30E-9
-95.60E-3,-23.24E-9
-95.20E-3,-23.19E-9
-94.80E-3,-23.13E-9
-94.40E-3,-23.07E-9
-94.00E-3,-23.02E-9
-93.60E-3,-22.96E-9
-93.20E-3,-22.90E-9
-92.80E-3,-22.84E-9
-92.40E-3,-22.78E-9
-92.00E-3,-22.73E-9
-91.60E-3,-22.67E-9
-91.20E-3,-22.61E-9
-90.80E-3,-22.55E-9
-90.40E-3,-22.49E-9
-90.00E-3,-22.43E-9
-89.60E-3,-22.36E-9
-89.20E-3,-22.30E-9
-88.80E-3,-22.24E-9
-88.40E-3,-22.18E-9
-88.00E-3,-22.12E-9
-87.60E-3,-22.05E-9
-87.20E-3,-21.99E-9
-86.80E-3,-21.93E-9
-86.40E-3,-21.86E-9
-86.00E-3,-21.80E-9
-85.60E-3,-21.73E-9
-85.20E-3,-21.67E-9
-84.80E-3,-21.60E-9
-84.40E-3,-21.53E-9
-84.00E-3,-21.47E-9
-83.60E-3,-21.40E-9
-83.20E-3,-21.33E-9
-82.80E-3,-21.26E-9
-82.40E-3,-21.20E-9
-82.00E-3,-21.13E-9
-81.60E-3,-21.06E-9
-81.20E-3,-20.99E-9
-80.80E-3,-20.92E-9
-80.40E-3,-20.85E-9
-80.00E-3,-20.78E-9
-79.60E-3,-20.71E-9
-79.20E-3,-20.63E-9
-78.80E-3,-20.56E-9
-78.40E-3,-20.49E-9
-78.00E-3,-20.42E-9
-77.60E-3,-20.34E-9
-77.20E-3,-20.27E-9
-76.80E-3,-20.20E-9
-76.40E-3,-20.12E-9
-76.00E-3,-20.05E-9
-75.60E-3,-19.97E-9
-75.20E-3,-19.90E-9
-74.80E-3,-19.82E-9
-74.40E-3,-19.74E-9
-74.00E-3,-19.66E-9
-73.60E-3,-19.59E-9
-73.20E-3,-19.51E-9
-72.80E-3,-19.43E-9
-72.40E-3,-19.35E-9
-72.00E-3,-19.27E-9
-71.60E-3,-19.19E-9
-71.20E-3,-19.11E-9
-70.80E-3,-19.03E-9
-70.40E-3,-18.95E-9
-70.00E-3,-18.87E-9
-69.60E-3,-18.79E-9
-69.20E-3,-18.71E-9
-68.80E-3,-18.62E-9
-68.40E-3,-18.54E-9
-68.00E-3,-18.46E-9
-67.60E-3,-18.37E-9
-67.20E-3,-18.29E-9
-66.80E-3,-18.20E-9
-66.40E-3,-18.12E-9
-66.00E-3,-18.03E-9
-65.60E-3,-17.95E-9
-65.20E-3,-17.86E-9
-64.80E-3,-17.77E-9
-64.40E-3,-17.68E-9
-64.00E-3,-17.60E-9
-63.60E-3,-17.51E-9
-63.20E-3,-17.42E-9
-62.80E-3,-17.33E-9
-62.40E-3,-17.24E-9
-62.00E-3,-17.15E-9
-61.60E-3,-17.06E-9
-61.20E-3,-16.97E-9
-60.80E-3,-16.88E-9
-60.40E-3,-16.78E-9
-60.00E-3,-16.69E-9
-59.60E-3,-16.60E-9
-59.20E-3,-16.51E-9
-58.80E-3,-16.41E-9
-58.40E-3,-16.32E-9
-58.00E-3,-16.22E-9
-57.60E-3,-16.13E-9
-57.20E-3,-16.03E-9
-56.80E-3,-15.94E-9
-56.40E-3,-15.84E-9
-56.00E-3,-15.75E-9
-55.60E-3,-15.65E-9
-55.20E-3,-15.55E-9
-54.80E-3,-15.45E-9
-54.40E-3,-15.36E-9
-54.00E-3,-15.26E-9
-53.60E-3,-15.16E-9
-53.20E-3,-15.06E-9
-52.80E-3,-14.96E-9
-52.40E-3,-14.86E-9
-52.00E-3,-14.76E-9
-51.60E-3,-14.66E-9
-51.20E-3,-14.55E-9
-50.80E-3,-14.45E-9
-50.40E-3,-14.35E-9
-50.00E-3,-14.25E-9
-49.60E-3,-14.14E-9
-49.20E-3,-14.04E-9
-48.80E-3,-13.94E-9
-48.40E-3,-13.83E-9
-48.00E-3,-13.73E-9
-47.60E-3,-13.62E-9
-47.20E-3,-13.52E-9
-46.80E-3,-13.41E-9
-46.40E-3,-13.30E-9
-46.00E-3,-13.20E-9
-45.60E-3,-13.09E-9
-45.20E-3,-12.98E-9
-44.80E-3,-12.87E-9
-44.40E-3,-12.77E-9
-44.00E-3,-12.66E-9
-43.60E-3,-12.55E-9
-43.20E-3,-12.44E-9
-42.80E-3,-12.33E-9
-42.40E-3,-12.22E-9
-42.00E-3,-12.11E-9
-41.60E-3,-12.00E-9
-41.20E-3,-11.88E-9
-40.80E-3,-11.77E-9
-40.40E-3,-11.66E-9
-40.00E-3,-11.55E-9
-39.60E-3,-11.44E-9
-39.20E-3,-11.32E-9
-38.80E-3,-11.21E-9
-38.40E-3,-11.09E-9
-38.00E-3,-10.98E-9
-37.60E-3,-10.87E-9
-37.20E-3,-10.75E-9
-36.80E-3,-10.64E-9
-36.40E-3,-10.52E-9
-36.00E-3,-10.40E-9
-35.60E-3,-10.29E-9
-35.20E-3,-10.17E-9
-34.80E-3,-10.05E-9
-34.40E-3,-9.936E-9
-34.00E-3,-9.818E-9
-33.60E-3,-9.700E-9
-33.20E-3,-9.582E-9
-32.80E-3,-9.463E-9
-32.40E-3,-9.344E-9
-32.00E-3,-9.225E-9
-31.60E-3,-9.106E-9
-31.20E-3,-8.986E-9
-30.80E-3,-8.866E-9
-30.40E-3,-8.745E-9
-30.00E-3,-8.624E-9
-29.60E-3,-8.503E-9
-29.20E-3,-8.382E-9
-28.80E-3,-8.260E-9
-28.40E-3,-8.138E-9
-28.00E-3,-8.016E-9
-27.60E-3,-7.894E-9
-27.20E-3,-7.771E-9
-26.80E-3,-7.648E-9
-26.40E-3,-7.525E-9
-26.00E-3,-7.401E-9
-25.60E-3,-7.277E-9
-25.20E-3,-7.153E-9
-24.80E-3,-7.029E-9
-24.40E-3,-6.905E-9
-24.00E-3,-6.780E-9
-23.60E-3,-6.655E-9
-23.20E-3,-6.530E-9
-22.80E-3,-6.404E-9
-22.40E-3,-6.279E-9
-22.00E-3,-6.153E-9
-21.60E-3,-6.027E-9
-21.20E-3,-5.901E-9
-20.80E-3,-5.774E-9
-20.40E-3,-5.647E-9
-20.00E-3,-5.521E-9
-19.60E-3,-5.393E-9
-19.20E-3,-5.266E-9
-18.80E-3,-5.139E-9
-18.40E-3,-5.011E-9
-18.00E-3,-4.884E-9
-17.60E-3,-4.756E-9
-17.20E-3,-4.628E-9
-16.80E-3,-4.499E-9
-16.40E-3,-4.371E-9
-16.00E-3,-4.243E-9
-15.60E-3,-4.114E-9
-15.20E-3,-3.985E-9
-14.80E-3,-3.856E-9
-14.40E-3,-3.727E-9
-14.00E-3,-3.598E-9
-13.60E-3,-3.469E-9
-13.20E-3,-3.340E-9
-12.80E-3,-3.211E-9
-12.40E-3,-3.081E-9
-12.00E-3,-2.952E-9
-11.60E-3,-2.823E-9
-11.20E-3,-2.693E-9
-10.80E-3,-2.564E-9
-10.40E-3,-2.434E-9
-10.00E-3,-2.305E-9
-9.600E-3,-2.175E-9
-9.200E-3,-2.046E-9
-8.800E-3,-1.917E-9
-8.400E-3,-1.788E-9
-8.000E-3,-1.659E-9
-7.600E-3,-1.530E-9
-7.200E-3,-1.401E-9
-6.800E-3,-1.273E-9
-6.400E-3,-1.145E-9
-6.000E-3,-1.018E-9
-5.600E-3,-891.4E-12
-5.200E-3,-765.5E-12
-4.800E-3,-640.8E-12
-4.400E-3,-517.7E-12
-4.000E-3,-397.0E-12
-3.600E-3,-280.2E-12
-3.200E-3,-170.2E-12
-2.800E-3,-75.22E-12
-2.400E-3,-15.61E-12
-2.000E-3,-1.470E-12
-1.600E-3,-103.7E-15
-1.200E-3,640.4E-15
-800.0E-6,4.765E-12
-400.0E-6,28.54E-12
0.000,90.08E-12
400.0E-6,179.0E-12
800.0E-6,281.7E-12
1.200E-3,392.4E-12
1.600E-3,507.7E-12
2.000E-3,625.9E-12
2.400E-3,746.3E-12
2.800E-3,868.3E-12
3.200E-3,991.4E-12
3.600E-3,1.116E-9
4.000E-3,1.240E-9
4.400E-3,1.366E-9
4.800E-3,1.492E-9
5.200E-3,1.618E-9
5.600E-3,1.745E-9
6.000E-3,1.872E-9
6.400E-3,1.999E-9
6.800E-3,2.126E-9
7.200E-3,2.254E-9
7.600E-3,2.382E-9
8.000E-3,2.510E-9
8.400E-3,2.637E-9
8.800E-3,2.765E-9
9.200E-3,2.893E-9
