V_SWEEP ,i("/GM/iout" ?result "dc") (A)
167.2E-3,29.17E-9
167.6E-3,29.19E-9
168.0E-3,29.20E-9
168.4E-3,29.21E-9
168.8E-3,29.23E-9
169.2E-3,29.24E-9
169.6E-3,29.25E-9
170.0E-3,29.27E-9
170.4E-3,29.28E-9
170.8E-3,29.29E-9
171.2E-3,29.30E-9
171.6E-3,29.31E-9
172.0E-3,29.33E-9
172.4E-3,29.34E-9
172.8E-3,29.35E-9
173.2E-3,29.36E-9
173.6E-3,29.37E-9
174.0E-3,29.39E-9
174.4E-3,29.40E-9
174.8E-3,29.41E-9
175.2E-3,29.42E-9
175.6E-3,29.43E-9
176.0E-3,29.44E-9
176.4E-3,29.45E-9
176.8E-3,29.46E-9
177.2E-3,29.47E-9
177.6E-3,29.48E-9
178.0E-3,29.50E-9
178.4E-3,29.51E-9
178.8E-3,29.52E-9
179.2E-3,29.53E-9
179.6E-3,29.54E-9
180.0E-3,29.55E-9
180.4E-3,29.56E-9
180.8E-3,29.57E-9
181.2E-3,29.58E-9
181.6E-3,29.59E-9
182.0E-3,29.60E-9
182.4E-3,29.61E-9
182.8E-3,29.61E-9
183.2E-3,29.62E-9
183.6E-3,29.63E-9
184.0E-3,29.64E-9
184.4E-3,29.65E-9
184.8E-3,29.66E-9
185.2E-3,29.67E-9
185.6E-3,29.68E-9
186.0E-3,29.69E-9
186.4E-3,29.70E-9
186.8E-3,29.71E-9
187.2E-3,29.71E-9
187.6E-3,29.72E-9
188.0E-3,29.73E-9
188.4E-3,29.74E-9
188.8E-3,29.75E-9
189.2E-3,29.76E-9
189.6E-3,29.76E-9
190.0E-3,29.77E-9
190.4E-3,29.78E-9
190.8E-3,29.79E-9
191.2E-3,29.80E-9
191.6E-3,29.80E-9
192.0E-3,29.81E-9
192.4E-3,29.82E-9
192.8E-3,29.83E-9
193.2E-3,29.83E-9
193.6E-3,29.84E-9
194.0E-3,29.85E-9
194.4E-3,29.86E-9
194.8E-3,29.86E-9
195.2E-3,29.87E-9
195.6E-3,29.88E-9
196.0E-3,29.89E-9
196.4E-3,29.89E-9
196.8E-3,29.90E-9
197.2E-3,29.91E-9
197.6E-3,29.91E-9
198.0E-3,29.92E-9
198.4E-3,29.93E-9
198.8E-3,29.93E-9
199.2E-3,29.94E-9
199.6E-3,29.95E-9
200.0E-3,29.95E-9
