vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y,vout_ac X,vout_ac Y
10,-18.38082775561443,10,-24.27088538067694,10,-29.75978665635306,10,-34.13312159847823,10,-36.60956080471012,10,-37.53570027636724,10,-37.64891882118824,10,-37.56001728907533
29.98,-8.751891689998248,29.98,-14.83362028986718,49.98,-16.4064293126094,89.98,-17.30942042153561,89.98,-23.21670067607948,89.98,-28.73434559585611,89.98,-33.27942403314174,89.98,-35.78853329235007
49.96,-4.182656430504018,49.96,-10.36370629089845,89.95999999999999,-11.2825893015129,169.96,-11.77741829932308,169.96,-17.79240181869831,169.96,-23.60899949204932,169.96,-29.06646628801446,169.96,-33.11743828182169
69.94,-1.176168770907152,69.94,-7.384607896715567,129.94,-8.037643377088038,249.94,-8.381443786962999,249.94,-14.45170883327539,249.94,-20.34475862672572,249.94,-26.04885364562335,249.94,-30.70671858610948
89.92,0.8947285432001586,89.92,-5.135971680094088,169.92,-5.644449713084358,329.92,-5.911078615040508,329.92,-12.03010621243985,329.92,-17.9618602905615,329.92,-23.764915325255,329.92,-28.69728011283394
109.9,2.170585415879544,109.9,-3.330954028008825,209.9,-3.746918710316354,409.9,-3.967645865351478,409.9,-10.12616019503853,409.9,-16.08663696115531,409.9,-21.9403937628907,409.9,-27.0161645156794
129.88,2.722322066984634,129.88,-1.837489219887611,249.88,-2.186721257092005,489.8800000000001,-2.377699686511537,489.8800000000001,-8.554487989476238,489.8800000000001,-14.5404551444365,489.8800000000001,-20.42508027649577,489.8800000000001,-25.58455155115162
149.86,2.697728056008403,149.86,-0.5907165114017378,289.86,-0.886749980977986,569.86,-1.057434302996076,569.86,-7.214654079357894,569.86,-13.22455170449954,569.86,-19.13063680062877,569.86,-24.34328711537549
169.84,2.298282563584815,169.84,0.4403203789363409,329.84,0.1902699254255025,649.84,0.03383958498129338,649.84,-6.046538941503339,649.84,-12.0787159455661,649.84,-18.0013422747018,649.84,-23.25013192676433
189.82,1.699643858736318,189.82,1.269209484465091,369.82,1.061090904968628,729.8200000000001,0.9148060969121716,729.8200000000001,-5.011698502928985,729.8200000000001,-11.06358855373453,729.8200000000001,-16.99998422439271,729.8200000000001,-22.27473521300294
209.8,1.017473277438349,209.8,1.902678768166119,409.8,1.733589400678582,809.8000000000001,1.594542974309654,809.8000000000001,-4.084440642294233,809.8000000000001,-10.1520646522738,809.8000000000001,-16.10054917867797,809.8000000000001,-21.39485385717654
229.7799999999999,0.3162408653251071,229.7799999999999,2.348080604679454,449.78,2.214944312752621,889.7800000000001,2.081049463518402,889.7800000000001,-3.247107591030996,889.7800000000001,-9.324712253786654,889.7800000000001,-15.28416905875952,889.7800000000001,-20.59382233439033
